customer,state,customer lifetime value,response,coverage,education,effective to date,employment status,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type,month,response_numerical,claims
MR22119,Oregon,4430.572112,No,Basic,High School or Below,1/7/11,Employed,M,"(-0.001, 25820.0]",Suburban,Married,112,31.0,17,0.0,1,Personal Auto,Personal L3,Offer4,Web,537.6,SUV,Medsize,M,1,0,"(513.6, 599.062]"
OW20992,California,2311.118403,No,Basic,High School or Below,1/18/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,68,0.0,45,0.0,1,Personal Auto,Personal L2,Offer2,Web,489.6,Four-Door Car,Medsize,A,1,0,"(453.6, 513.6]"
ZI69514,California,4821.213012,No,Basic,College,1/24/11,Employed,M,"(44428.0, 68532.8]",Rural,Married,64,28.0,48,4.0,3,Corporate Auto,Corporate L3,Offer3,Agent,119.587974,Four-Door Car,Medsize,A,1,0,"(104.085, 212.799]"
OQ43721,Oregon,2648.471057,No,Basic,High School or Below,1/22/11,Disabled,F,"(25820.0, 44428.0]",Suburban,Married,69,15.0,4,0.0,1,Personal Auto,Personal L2,Offer2,Branch,378.432035,Four-Door Car,Medsize,A,1,0,"(334.039, 383.945]"
MO56878,California,15488.43196,No,Basic,Bachelor,1/5/11,Employed,M,"(25820.0, 44428.0]",Suburban,Single,109,28.0,52,3.0,2,Corporate Auto,Corporate L3,Offer2,Agent,664.980242,SUV,Small,M,1,0,"(599.062, 773.434]"
SL19130,Oregon,4101.935985,No,Premium,High School or Below,1/5/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,115,1.0,34,0.0,1,Personal Auto,Personal L1,Offer1,Branch,552.0,Two-Door Car,Medsize,A,1,0,"(513.6, 599.062]"
ZP64637,Arizona,3857.770745,No,Basic,High School or Below,1/29/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,110,20.0,62,0.0,1,Corporate Auto,Corporate L3,Offer1,Web,792.0,Sports Car,Medsize,M,1,0,"(773.434, 2893.24]"
CS30372,Oregon,5420.339434,No,Basic,Bachelor,2/23/11,Employed,M,"(-0.001, 25820.0]",Rural,Married,69,9.0,27,0.0,5,Corporate Auto,Corporate L3,Offer3,Agent,133.099001,Four-Door Car,Medsize,A,2,0,"(104.085, 212.799]"
SZ61563,California,36632.53432,No,Extended,Bachelor,1/21/11,Employed,M,"(68532.8, 99981.0]",Urban,Divorced,132,0.0,71,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,521.444011,SUV,Medsize,M,1,0,"(513.6, 599.062]"
YE20366,California,7183.071115,No,Basic,Bachelor,1/9/11,Medical Leave,M,"(-0.001, 25820.0]",Suburban,Single,65,16.0,4,0.0,2,Personal Auto,Personal L2,Offer1,Agent,402.778867,Four-Door Car,Medsize,A,1,0,"(383.945, 453.6]"
UW20734,California,3590.693623,No,Extended,College,1/9/11,Employed,F,"(68532.8, 99981.0]",Rural,Married,89,28.0,50,0.0,1,Personal Auto,Personal L2,Offer2,Branch,29.828668,Two-Door Car,Small,A,1,0,"(0.098, 104.085]"
ZO42514,California,9159.005771,No,Premium,Bachelor,2/26/11,Employed,F,"(68532.8, 99981.0]",Urban,Divorced,114,33.0,38,0.0,9,Personal Auto,Personal L3,Offer3,Agent,491.027024,Two-Door Car,Medsize,A,2,0,"(453.6, 513.6]"
HX44948,Oregon,5759.91084,No,Basic,Bachelor,1/28/11,Employed,M,"(68532.8, 99981.0]",Rural,Married,72,16.0,76,0.0,3,Special Auto,Special L2,Offer3,Agent,16.03451,Four-Door Car,Medsize,A,1,0,"(0.098, 104.085]"
QY56887,Arizona,14208.50598,No,Extended,High School or Below,2/8/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,131,12.0,26,0.0,2,Corporate Auto,Corporate L3,Offer3,Agent,943.2,SUV,Medsize,M,2,0,"(773.434, 2893.24]"
HK26543,California,5045.866663,No,Basic,High School or Below,1/27/11,Employed,M,"(25820.0, 44428.0]",Suburban,Married,64,32.0,41,1.0,8,Personal Auto,Personal L3,Offer1,Branch,307.2,Four-Door Car,Medsize,M,1,0,"(302.4, 334.039]"
QQ69088,Washington,5577.669457,No,Basic,Doctor,1/17/11,Disabled,M,"(-0.001, 25820.0]",Suburban,Married,73,26.0,50,0.0,4,Corporate Auto,Corporate L3,Offer3,Web,350.4,Two-Door Car,Small,A,1,0,"(334.039, 383.945]"
UO62808,Arizona,2799.74791,No,Basic,High School or Below,2/4/11,Employed,F,"(44428.0, 68532.8]",Suburban,Married,69,4.0,54,0.0,1,Corporate Auto,Corporate L1,Offer2,Call Center,481.027516,Four-Door Car,Medsize,M,2,0,"(453.6, 513.6]"
MI91352,California,8382.478392,Yes,Basic,Bachelor,1/27/11,Employed,M,"(25820.0, 44428.0]",Suburban,Married,71,16.0,38,0.0,2,Personal Auto,Personal L1,Offer2,Call Center,791.878042,Four-Door Car,Medsize,A,1,1,"(773.434, 2893.24]"
YB49540,California,5254.019142,No,Basic,College,1/19/11,Employed,F,"(68532.8, 99981.0]",Suburban,Married,65,5.0,36,0.0,3,Personal Auto,Personal L3,Offer2,Web,324.99944,Four-Door Car,Medsize,M,1,0,"(302.4, 334.039]"
NN44612,Nevada,4909.844198,No,Basic,Bachelor,2/28/11,Employed,F,"(44428.0, 68532.8]",Urban,Divorced,62,1.0,69,0.0,3,Personal Auto,Personal L3,Offer1,Agent,252.157829,Two-Door Car,Medsize,A,2,0,"(212.799, 302.4]"
NC80854,California,4940.940943,No,Basic,College,1/9/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,71,22.0,57,0.0,9,Personal Auto,Personal L2,Offer3,Agent,511.750971,Four-Door Car,Medsize,A,1,0,"(453.6, 513.6]"
HP46467,Oregon,4953.086407,No,Extended,College,2/18/11,Employed,F,"(-0.001, 25820.0]",Suburban,Divorced,127,14.0,37,0.0,1,Corporate Auto,Corporate L2,Offer3,Web,609.6,SUV,Large,A,2,0,"(599.062, 773.434]"
HN63935,Arizona,3433.82408,No,Extended,Master,2/8/11,Employed,M,"(68532.8, 99981.0]",Rural,Married,85,27.0,20,0.0,1,Personal Auto,Personal L2,Offer4,Agent,67.975243,Four-Door Car,Large,A,2,0,"(0.098, 104.085]"
HF65914,Arizona,6940.972823,No,Extended,College,1/3/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Married,92,4.0,60,0.0,3,Personal Auto,Personal L1,Offer1,Branch,441.6,Two-Door Car,Medsize,M,1,0,"(383.945, 453.6]"
SW19699,Arizona,2755.747968,No,Basic,Bachelor,1/7/11,Employed,F,"(44428.0, 68532.8]",Rural,Divorced,70,0.0,23,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,65.954813,Four-Door Car,Medsize,M,1,0,"(0.098, 104.085]"
CC16034,Oregon,17103.79173,No,Basic,High School or Below,1/28/11,Employed,F,"(44428.0, 68532.8]",Suburban,Married,71,8.0,71,0.0,2,Personal Auto,Personal L3,Offer2,Web,340.8,Four-Door Car,Medsize,M,1,0,"(334.039, 383.945]"
MU75490,Oregon,8417.102804,No,Basic,Bachelor,1/25/11,Employed,M,"(25820.0, 44428.0]",Urban,Married,107,1.0,97,0.0,3,Corporate Auto,Corporate L3,Offer1,Agent,415.850776,SUV,Medsize,A,1,0,"(383.945, 453.6]"
AT49447,California,7591.827171,No,Extended,Bachelor,1/15/11,Employed,M,"(68532.8, 99981.0]",Rural,Married,95,16.0,19,0.0,9,Personal Auto,Personal L3,Offer2,Call Center,233.265397,Two-Door Car,Medsize,M,1,0,"(212.799, 302.4]"
VW86720,Oregon,7457.468107,No,Basic,Bachelor,1/5/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,69,15.0,73,0.0,2,Personal Auto,Personal L1,Offer1,Call Center,678.209827,Four-Door Car,Small,A,1,0,"(599.062, 773.434]"
TB40283,California,14635.45158,Yes,Extended,Bachelor,2/27/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Divorced,139,5.0,56,0.0,2,Corporate Auto,Corporate L2,Offer1,Call Center,667.2,SUV,Medsize,M,2,1,"(599.062, 773.434]"
KH12081,Arizona,8129.511,No,Basic,High School or Below,2/26/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Divorced,119,3.0,11,1.0,8,Personal Auto,Personal L3,Offer2,Branch,729.405742,SUV,Large,M,2,0,"(599.062, 773.434]"
NB39218,California,12315.09489,No,Premium,High School or Below,1/27/11,Employed,M,"(44428.0, 68532.8]",Suburban,Married,104,5.0,27,1.0,2,Personal Auto,Personal L2,Offer2,Branch,499.2,Four-Door Car,Medsize,M,1,0,"(453.6, 513.6]"
LB35863,California,7244.497284,No,Basic,Bachelor,1/16/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,103,1.0,51,0.0,3,Personal Auto,Personal L1,Offer2,Agent,494.4,SUV,Small,A,1,0,"(453.6, 513.6]"
TF35512,Oregon,7025.65076,No,Extended,College,1/23/11,Employed,F,"(44428.0, 68532.8]",Suburban,Married,88,4.0,51,0.0,3,Corporate Auto,Corporate L3,Offer3,Agent,422.4,Four-Door Car,Medsize,M,1,0,"(383.945, 453.6]"
PB60303,Oregon,18089.79629,No,Extended,Master,2/15/11,Employed,F,"(68532.8, 99981.0]",Suburban,Married,223,5.0,28,1.0,6,Personal Auto,Personal L3,Offer4,Branch,1070.4,Luxury Car,Medsize,A,2,0,"(773.434, 2893.24]"
WU50951,Washington,6846.150323,Yes,Extended,Bachelor,1/27/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Divorced,95,13.0,20,0.0,5,Personal Auto,Personal L2,Offer1,Call Center,456.0,Two-Door Car,Large,A,1,1,"(453.6, 513.6]"
QO62792,Oregon,7840.165778,Yes,Extended,College,1/14/11,Employed,M,"(44428.0, 68532.8]",Suburban,Single,210,7.0,24,2.0,1,Personal Auto,Personal L3,Offer2,Agent,1008.0,Luxury SUV,Small,A,1,1,"(773.434, 2893.24]"
XB64207,Arizona,4117.4697,No,Basic,Bachelor,1/8/11,Employed,F,"(68532.8, 99981.0]",Urban,Married,102,4.0,73,0.0,1,Personal Auto,Personal L1,Offer1,Agent,344.736945,SUV,Medsize,A,1,0,"(334.039, 383.945]"
FN69743,California,4636.54647,Yes,Basic,College,1/1/11,Retired,M,"(25820.0, 44428.0]",Suburban,Married,66,7.0,43,1.0,5,Corporate Auto,Corporate L1,Offer2,Agent,316.8,Two-Door Car,Medsize,A,1,1,"(302.4, 334.039]"
OE51254,California,2790.682957,No,Basic,College,2/10/11,Employed,F,"(44428.0, 68532.8]",Suburban,Married,69,14.0,33,0.0,1,Personal Auto,Personal L3,Offer1,Agent,331.2,Four-Door Car,Medsize,A,2,0,"(302.4, 334.039]"
KC17606,California,5244.550942,No,Basic,College,2/9/11,Employed,F,"(25820.0, 44428.0]",Urban,Married,66,21.0,88,0.0,3,Personal Auto,Personal L3,Offer3,Web,313.931213,Four-Door Car,Large,M,2,0,"(302.4, 334.039]"
OT42923,California,2751.250209,No,Basic,High School or Below,2/20/11,Employed,M,"(68532.8, 99981.0]",Suburban,Single,70,32.0,68,0.0,1,Personal Auto,Personal L3,Offer2,Agent,336.0,Four-Door Car,Medsize,M,2,0,"(334.039, 383.945]"
AS55677,California,8338.995787,No,Premium,High School or Below,1/15/11,Employed,F,"(68532.8, 99981.0]",Rural,Divorced,104,31.0,71,0.0,3,Personal Auto,Personal L2,Offer3,Branch,54.065538,Four-Door Car,Medsize,M,1,0,"(0.098, 104.085]"
LC92080,Oregon,7247.736708,No,Basic,College,1/1/11,Employed,M,"(-0.001, 25820.0]",Rural,Married,62,12.0,38,0.0,2,Personal Auto,Personal L3,Offer2,Agent,98.923871,Two-Door Car,Medsize,A,1,0,"(0.098, 104.085]"
QA41558,Oregon,5419.45812,No,Basic,Master,1/6/11,Employed,F,"(68532.8, 99981.0]",Urban,Married,67,29.0,27,0.0,6,Personal Auto,Personal L1,Offer2,Branch,172.518524,Two-Door Car,Medsize,A,1,0,"(104.085, 212.799]"
KX79225,Oregon,20123.86854,No,Basic,High School or Below,1/26/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,70,18.0,23,0.0,2,Personal Auto,Personal L2,Offer1,Call Center,504.0,Four-Door Car,Small,M,1,0,"(453.6, 513.6]"
TJ30081,Arizona,12036.62051,Yes,Basic,Bachelor,2/10/11,Employed,M,"(25820.0, 44428.0]",Suburban,Single,104,17.0,61,0.0,2,Personal Auto,Personal L2,Offer1,Call Center,499.2,SUV,Medsize,M,2,1,"(453.6, 513.6]"
JF16295,Oregon,7547.762822,No,Premium,High School or Below,2/16/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Married,102,34.0,37,0.0,3,Personal Auto,Personal L2,Offer3,Agent,489.6,Four-Door Car,Medsize,A,2,0,"(453.6, 513.6]"
KJ50265,Washington,10418.31143,No,Extended,High School or Below,1/12/11,Disabled,M,"(25820.0, 44428.0]",Suburban,Married,91,32.0,4,0.0,2,Personal Auto,Personal L3,Offer1,Branch,436.8,Four-Door Car,Medsize,M,1,0,"(383.945, 453.6]"
FB55024,Oregon,3286.171949,No,Extended,High School or Below,2/7/11,Employed,F,"(44428.0, 68532.8]",Suburban,Married,82,15.0,64,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,393.6,Two-Door Car,Large,A,2,0,"(383.945, 453.6]"
NV14535,Nevada,10408.96865,Yes,Basic,High School or Below,2/18/11,Retired,M,"(-0.001, 25820.0]",Suburban,Divorced,101,3.0,43,1.0,2,Personal Auto,Personal L2,Offer1,Branch,523.815839,SUV,Medsize,A,2,1,"(513.6, 599.062]"
YH43996,Arizona,10189.65429,No,Premium,College,1/21/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,101,15.0,90,0.0,2,Personal Auto,Personal L3,Offer1,Branch,727.2,Four-Door Car,Small,A,1,0,"(599.062, 773.434]"
ZF58696,California,13104.14911,No,Extended,High School or Below,2/7/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,130,7.0,31,0.0,2,Personal Auto,Personal L3,Offer1,Agent,1430.548077,Sports Car,Medsize,A,2,0,"(773.434, 2893.24]"
TN64240,California,7853.961409,No,Extended,Bachelor,2/21/11,Employed,F,"(25820.0, 44428.0]",Suburban,Divorced,99,1.0,57,0.0,5,Corporate Auto,Corporate L3,Offer4,Call Center,629.344642,Four-Door Car,Small,M,2,0,"(599.062, 773.434]"
OY96856,Oregon,8044.872393,Yes,Basic,Bachelor,2/19/11,Employed,M,"(68532.8, 99981.0]",Urban,Married,67,29.0,39,0.0,2,Personal Auto,Personal L3,Offer2,Agent,284.000172,Four-Door Car,Medsize,M,2,1,"(212.799, 302.4]"
LB97434,Arizona,5531.627731,No,Basic,Bachelor,1/21/11,Employed,M,"(44428.0, 68532.8]",Suburban,Married,69,27.0,50,1.0,9,Personal Auto,Personal L3,Offer1,Call Center,331.2,Two-Door Car,Medsize,M,1,0,"(302.4, 334.039]"
PF40592,Washington,4942.630606,No,Basic,College,1/8/11,Medical Leave,F,"(-0.001, 25820.0]",Rural,Married,65,30.0,22,0.0,7,Personal Auto,Personal L2,Offer2,Web,118.446235,Two-Door Car,Medsize,A,1,0,"(104.085, 212.799]"
BV33510,Arizona,26413.54751,No,Extended,High School or Below,2/24/11,Employed,F,"(-0.001, 25820.0]",Suburban,Married,83,25.0,87,1.0,2,Personal Auto,Personal L3,Offer2,Web,398.4,Four-Door Car,Large,A,2,0,"(383.945, 453.6]"
SE76116,California,9567.711298,No,Basic,Bachelor,1/29/11,Employed,M,"(68532.8, 99981.0]",Rural,Divorced,119,8.0,86,0.0,7,Personal Auto,Personal L2,Offer1,Branch,221.188327,SUV,Medsize,A,1,0,"(212.799, 302.4]"
JB51220,Oregon,10915.35877,No,Premium,High School or Below,2/15/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,155,9.0,62,1.0,8,Corporate Auto,Corporate L2,Offer1,Call Center,1116.0,Sports Car,Medsize,M,2,0,"(773.434, 2893.24]"
LK74984,Washington,2459.171724,No,Basic,High School or Below,1/12/11,Employed,M,"(-0.001, 25820.0]",Suburban,Married,65,24.0,68,2.0,1,Personal Auto,Personal L3,Offer2,Call Center,312.0,Four-Door Car,Medsize,A,1,0,"(302.4, 334.039]"
TD20252,Arizona,5317.807221,No,Basic,College,1/8/11,Employed,M,"(68532.8, 99981.0]",Suburban,Married,67,17.0,72,0.0,3,Personal Auto,Personal L2,Offer2,Agent,321.6,Four-Door Car,Medsize,A,1,0,"(302.4, 334.039]"
KM79894,Arizona,3095.175379,No,Extended,Master,1/21/11,Employed,M,"(68532.8, 99981.0]",Suburban,Married,77,3.0,27,1.0,1,Corporate Auto,Corporate L3,Offer2,Agent,428.608683,Four-Door Car,Medsize,M,1,0,"(383.945, 453.6]"
WX92363,Washington,4250.775183,No,Basic,Bachelor,2/23/11,Employed,F,"(25820.0, 44428.0]",Urban,Divorced,108,30.0,89,0.0,1,Personal Auto,Personal L3,Offer1,Branch,308.953614,SUV,Medsize,A,2,0,"(302.4, 334.039]"
VZ79366,California,4362.931238,Yes,Premium,College,1/3/11,Employed,M,"(44428.0, 68532.8]",Suburban,Married,110,6.0,74,0.0,1,Personal Auto,Personal L2,Offer2,Branch,528.0,Four-Door Car,Medsize,M,1,1,"(513.6, 599.062]"
IS58493,Oregon,4369.697742,No,Basic,Master,2/11/11,Employed,M,"(25820.0, 44428.0]",Urban,Married,110,28.0,59,1.0,1,Personal Auto,Personal L3,Offer1,Agent,394.968488,Sports Car,Medsize,A,2,0,"(383.945, 453.6]"
BE33446,Arizona,5015.009472,Yes,Extended,Bachelor,2/3/11,Employed,F,"(44428.0, 68532.8]",Suburban,Single,130,12.0,15,0.0,1,Personal Auto,Personal L1,Offer2,Agent,624.0,SUV,Medsize,A,2,1,"(599.062, 773.434]"
UN49741,Oregon,11121.62179,No,Basic,High School or Below,2/17/11,Employed,M,"(25820.0, 44428.0]",Suburban,Divorced,106,25.0,76,5.0,2,Personal Auto,Personal L1,Offer1,Call Center,754.260616,SUV,Medsize,A,2,0,"(599.062, 773.434]"
BE92692,Oregon,2487.777024,No,Basic,Bachelor,2/21/11,Employed,M,"(68532.8, 99981.0]",Rural,Married,63,31.0,83,1.0,1,Personal Auto,Personal L2,Offer3,Branch,110.868874,Four-Door Car,Medsize,A,2,0,"(104.085, 212.799]"
IR62720,Nevada,6842.580052,No,Extended,Bachelor,2/19/11,Disabled,M,"(-0.001, 25820.0]",Suburban,Married,87,18.0,8,0.0,9,Personal Auto,Personal L1,Offer3,Agent,417.6,Four-Door Car,Medsize,M,2,0,"(383.945, 453.6]"
DS45844,California,4167.094538,No,Basic,College,2/13/11,Unemployed,M,"(-0.001, 25820.0]",Rural,Married,117,8.0,64,0.0,1,Corporate Auto,Corporate L3,Offer3,Agent,94.94292,Sports Car,Medsize,M,2,0,"(0.098, 104.085]"
YR30159,California,20936.33105,No,Basic,College,2/6/11,Employed,M,"(-0.001, 25820.0]",Suburban,Divorced,181,5.0,12,0.0,2,Personal Auto,Personal L3,Offer1,Agent,1579.854155,Luxury Car,Medsize,A,2,0,"(773.434, 2893.24]"
EN61670,Arizona,5332.462694,Yes,Basic,Doctor,2/22/11,Employed,F,"(68532.8, 99981.0]",Urban,Married,66,32.0,30,0.0,7,Personal Auto,Personal L1,Offer2,Branch,309.577946,Four-Door Car,Medsize,A,2,1,"(302.4, 334.039]"
XR71687,Oregon,9407.452895,No,Basic,Bachelor,1/7/11,Employed,M,"(25820.0, 44428.0]",Rural,Married,118,17.0,79,0.0,6,Personal Auto,Personal L2,Offer2,Agent,294.905685,SUV,Medsize,A,1,0,"(212.799, 302.4]"
UQ34669,Arizona,5757.442258,Yes,Basic,Master,1/31/11,Employed,M,"(68532.8, 99981.0]",Rural,Divorced,72,9.0,71,0.0,3,Personal Auto,Personal L3,Offer2,Branch,174.041566,Four-Door Car,Small,M,1,1,"(104.085, 212.799]"
XJ61632,Oregon,2034.993043,No,Basic,Bachelor,1/16/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,62,29.0,59,2.0,1,Personal Auto,Personal L1,Offer1,Web,446.4,Four-Door Car,Medsize,A,1,0,"(383.945, 453.6]"
FZ20933,Oregon,4880.94644,No,Basic,High School or Below,1/24/11,Employed,M,"(-0.001, 25820.0]",Suburban,Married,63,14.0,79,1.0,3,Personal Auto,Personal L2,Offer2,Agent,302.4,Four-Door Car,Large,M,1,0,"(212.799, 302.4]"
UF32671,Washington,5291.395332,No,Basic,College,2/26/11,Employed,F,"(44428.0, 68532.8]",Suburban,Single,66,9.0,85,0.0,3,Personal Auto,Personal L1,Offer1,Call Center,316.8,Four-Door Car,Small,M,2,0,"(302.4, 334.039]"
ZA45956,California,13736.1325,Yes,Premium,Master,2/13/11,Disabled,F,"(-0.001, 25820.0]",Suburban,Divorced,181,22.0,79,0.0,8,Personal Auto,Personal L2,Offer1,Web,1261.319869,SUV,Medsize,M,2,1,"(773.434, 2893.24]"
YH60476,Oregon,5780.182197,Yes,Basic,High School or Below,2/26/11,Employed,M,"(44428.0, 68532.8]",Suburban,Single,74,23.0,0,0.0,8,Corporate Auto,Corporate L3,Offer2,Call Center,787.993313,Four-Door Car,Medsize,A,2,1,"(773.434, 2893.24]"
UU84036,California,8267.848845,No,Basic,High School or Below,1/1/11,Employed,M,"(44428.0, 68532.8]",Urban,Married,69,6.0,59,0.0,2,Special Auto,Special L2,Offer1,Agent,222.791933,Two-Door Car,Medsize,M,1,0,"(212.799, 302.4]"
EN60878,Oregon,6183.111464,No,Extended,Bachelor,2/13/11,Disabled,M,"(-0.001, 25820.0]",Urban,Single,85,2.0,20,0.0,3,Personal Auto,Personal L2,Offer1,Branch,376.126419,Four-Door Car,Medsize,M,2,0,"(334.039, 383.945]"
UR42360,California,16979.79757,Yes,Basic,Bachelor,1/17/11,Employed,M,"(25820.0, 44428.0]",Suburban,Divorced,73,25.0,56,0.0,2,Personal Auto,Personal L1,Offer2,Call Center,525.6,Two-Door Car,Small,A,1,1,"(513.6, 599.062]"
PE59735,Oregon,22952.06778,No,Extended,High School or Below,2/15/11,Disabled,F,"(-0.001, 25820.0]",Rural,Married,86,4.0,83,0.0,2,Personal Auto,Personal L3,Offer1,Branch,109.69048,Four-Door Car,Medsize,M,2,0,"(104.085, 212.799]"
MD44130,Oregon,5712.380598,No,Basic,High School or Below,1/28/11,Employed,M,"(-0.001, 25820.0]",Suburban,Married,72,13.0,20,0.0,8,Corporate Auto,Corporate L2,Offer4,Branch,345.6,Two-Door Car,Large,A,1,0,"(334.039, 383.945]"
CK14803,California,4325.491222,No,Basic,College,2/2/11,Employed,M,"(68532.8, 99981.0]",Rural,Divorced,107,15.0,70,0.0,1,Personal Auto,Personal L2,Offer2,Branch,52.121929,SUV,Large,M,2,0,"(0.098, 104.085]"
QL77686,Nevada,4724.786102,No,Basic,College,1/5/11,Employed,F,"(-0.001, 25820.0]",Urban,Married,119,31.0,3,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,463.335061,SUV,Small,M,1,0,"(453.6, 513.6]"
FV58292,Oregon,5555.830205,Yes,Basic,Bachelor,2/6/11,Employed,M,"(68532.8, 99981.0]",Suburban,Single,72,12.0,61,0.0,6,Personal Auto,Personal L3,Offer2,Call Center,471.443077,Four-Door Car,Small,A,2,1,"(453.6, 513.6]"
IC94523,California,11638.89947,Yes,Basic,College,1/26/11,Medical Leave,F,"(-0.001, 25820.0]",Suburban,Married,102,10.0,77,0.0,2,Personal Auto,Personal L2,Offer1,Branch,489.6,Sports Car,Large,A,1,1,"(453.6, 513.6]"
ZC97171,Arizona,7627.431532,No,Extended,High School or Below,2/15/11,Employed,F,"(44428.0, 68532.8]",Rural,Single,96,1.0,44,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,85.155359,Four-Door Car,Medsize,A,2,0,"(0.098, 104.085]"
OR40901,California,12731.95161,Yes,Basic,Doctor,1/14/11,Employed,M,"(25820.0, 44428.0]",Suburban,Married,105,3.0,56,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,504.0,SUV,Large,M,1,1,"(453.6, 513.6]"
UM14135,Nevada,3265.156348,Yes,Extended,Bachelor,1/26/11,Employed,F,"(-0.001, 25820.0]",Suburban,Divorced,82,10.0,69,0.0,1,Personal Auto,Personal L1,Offer1,Agent,393.6,Four-Door Car,Medsize,M,1,1,"(383.945, 453.6]"
HG64216,California,2832.513487,No,Basic,College,1/29/11,Employed,M,"(25820.0, 44428.0]",Suburban,Married,72,4.0,17,0.0,1,Personal Auto,Personal L3,Offer2,Branch,430.518791,Two-Door Car,Medsize,M,1,0,"(383.945, 453.6]"
ZG88784,Oregon,4911.458509,No,Basic,College,1/10/11,Employed,M,"(44428.0, 68532.8]",Suburban,Divorced,62,6.0,17,0.0,3,Corporate Auto,Corporate L2,Offer4,Call Center,297.6,Four-Door Car,Medsize,M,1,0,"(212.799, 302.4]"
HG39060,Oregon,5110.680779,No,Basic,Bachelor,1/28/11,Unemployed,M,"(-0.001, 25820.0]",Suburban,Single,74,34.0,51,0.0,4,Corporate Auto,Corporate L2,Offer1,Call Center,532.8,Four-Door Car,Medsize,M,1,0,"(513.6, 599.062]"
MD40054,Oregon,6369.262355,Yes,Extended,High School or Below,1/20/11,Employed,M,"(25820.0, 44428.0]",Suburban,Single,83,30.0,72,0.0,7,Personal Auto,Personal L2,Offer2,Branch,398.4,Two-Door Car,Small,M,1,1,"(383.945, 453.6]"
LO90163,Nevada,30081.36783,No,Basic,Bachelor,1/23/11,Employed,F,"(-0.001, 25820.0]",Rural,Married,108,19.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Call Center,225.971279,SUV,Medsize,M,1,0,"(212.799, 302.4]"
JZ63423,Arizona,5321.108879,No,Extended,College,1/13/11,Employed,M,"(44428.0, 68532.8]",Suburban,Divorced,136,28.0,17,1.0,1,Personal Auto,Personal L3,Offer2,Call Center,652.8,SUV,Large,M,1,0,"(599.062, 773.434]"
DV58197,California,8256.2978,Yes,Basic,Bachelor,1/25/11,Employed,F,"(44428.0, 68532.8]",Rural,Married,69,14.0,94,0.0,2,Personal Auto,Personal L3,Offer2,Web,159.383042,Two-Door Car,Medsize,A,1,1,"(104.085, 212.799]"
EJ77678,Oregon,3235.360468,No,Extended,Master,2/7/11,Employed,F,"(68532.8, 99981.0]",Suburban,Married,80,17.0,44,1.0,1,Personal Auto,Personal L3,Offer2,Branch,384.0,Four-Door Car,Small,M,2,0,"(383.945, 453.6]"
SG51792,Arizona,2753.159194,No,Basic,Bachelor,2/4/11,Employed,F,"(68532.8, 99981.0]",Suburban,Married,70,2.0,48,3.0,1,Corporate Auto,Corporate L3,Offer2,Agent,459.743736,Two-Door Car,Medsize,M,2,0,"(453.6, 513.6]"
PF24757,Arizona,6521.368813,Yes,Extended,College,1/9/11,Employed,F,"(68532.8, 99981.0]",Suburban,Married,82,26.0,19,3.0,8,Personal Auto,Personal L1,Offer2,Agent,393.6,Four-Door Car,Medsize,M,1,1,"(383.945, 453.6]"
JS64688,Oregon,2595.853636,No,Basic,High School or Below,2/2/11,Employed,M,"(44428.0, 68532.8]",Suburban,Divorced,67,18.0,12,0.0,1,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize,M,2,0,"(302.4, 334.039]"
TS98462,Washington,22399.12944,No,Basic,High School or Below,1/15/11,Employed,F,"(68532.8, 99981.0]",Rural,Married,69,21.0,53,0.0,2,Personal Auto,Personal L3,Offer3,Branch,78.189401,Two-Door Car,Medsize,A,1,0,"(0.098, 104.085]"
